Date,Time of Day,Station Name/Brand,Queue Length,Estimated Wait Time (mins),Price per Liter (NGN)
2026-07-06,Afternoon,Mobil - Eku Junction,Medium (6-15 cars),11,625
2026-07-06,Afternoon,Independent - Umeh Filling Station,Medium (6-15 cars),12,643
2026-07-06,Afternoon,Total - Abraka Market Rd,None,0,631
2026-07-06,Afternoon,NNPC - Abraka Road,Medium (6-15 cars),16,615
2026-07-06,Evening,Mobil - Eku Junction,Long (15+ cars),28,627
2026-07-06,Evening,Independent - Umeh Filling Station,Short (1-5 cars),8,640
2026-07-06,Morning,NNPC - Abraka Road,Medium (6-15 cars),23,613
2026-07-07,Afternoon,Mobil - Eku Junction,Short (1-5 cars),2,628
2026-07-07,Afternoon,Conoil - Obiaruku Road,Medium (6-15 cars),11,620
2026-07-07,Evening,Conoil - Obiaruku Road,Medium (6-15 cars),15,626
2026-07-08,Afternoon,Conoil - Obiaruku Road,Medium (6-15 cars),12,626
2026-07-08,Afternoon,Mobil - Eku Junction,Short (1-5 cars),3,623
2026-07-08,Evening,Independent - Umeh Filling Station,Short (1-5 cars),8,642
2026-07-08,Evening,NNPC - Abraka Road,Long (15+ cars),27,612
2026-07-08,Morning,Independent - Umeh Filling Station,Medium (6-15 cars),20,643
2026-07-08,Morning,Conoil - Obiaruku Road,Medium (6-15 cars),20,628
2026-07-08,Morning,NNPC - Abraka Road,Medium (6-15 cars),23,615
2026-07-09,Afternoon,Conoil - Obiaruku Road,Medium (6-15 cars),14,623
2026-07-09,Afternoon,Mobil - Eku Junction,Short (1-5 cars),9,626
2026-07-09,Afternoon,Independent - Umeh Filling Station,None,0,641
2026-07-09,Evening,Mobil - Eku Junction,Medium (6-15 cars),21,628
2026-07-09,Morning,NNPC - Abraka Road,Long (15+ cars),27,619
2026-07-09,Morning,Independent - Umeh Filling Station,Medium (6-15 cars),11,642
2026-07-10,Afternoon,Conoil - Obiaruku Road,Short (1-5 cars),4,624
2026-07-10,Afternoon,Independent - Umeh Filling Station,Short (1-5 cars),8,642
2026-07-10,Evening,Mobil - Eku Junction,Medium (6-15 cars),24,626
